,Screen Size,Screen Resolution,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand Name,Series,Operating System,Item Weight,Product Dimensions,Item Dimensions L x W x H,Processor Brand,Processor Count,Flash Memory Size,Hard Drive Interface,Hard Drive Rotational Speed,Optical Drive Type,Batteries,Date First Available,Price
0,13.3 inches,1920 x 1080 pixels,4.6 GHz Intel Core i7,16 GB DDR3,512 GB Flash Memory Solid State,Intel HD Graphics 620,Intel,Integrated,2,,ASUS,Asus ZenBook 13,Windows 10 Pro,2.6 pounds,11.9 x 7.4 x 0.7 inches,11.9 x 7.4 x 0.7 inches,Intel,4,512.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"April 22, 2019",$899.99
1,14 inches,1366 x 768 pixels,2.1 GHz Core i3 Family,4 GB SO-DIMM,128 GB Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,2,8 hours,Lenovo,Flex 14,Windows 10,3.52 pounds,12.9 x 9 x 0.7 inches,12.91 x 9.02 x 0.7 inches,Intel,1,128.00,PCIE x 4,7200 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"May 20, 2019",$488.83
2,15.6 inches,1920 x 1080 pixels,1.6 GHz Intel Core i5,8 GB DDR4,1000 GB Mechanical Hard Drive,Intel UHD Graphics 620,Intel,Integrated,1,5 hours,ASUS,F510UA-AH51,Windows 10 Home,3.7 pounds,14.2 x 9.6 x 0.8 inches,14.2 x 9.6 x 0.8 inches,Intel,4,,Serial ATA-600,5400 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"October 9, 2017",$725.00
3,14 inches,1366 x 768,2.2 GHz AMD A4,4 GB SDRAM,32 GB Flash Memory Solid State,,AMD,Integrated,,,HP,HP Stream Laptop 14-ds0010nr,Windows 10 S,3.21 pounds,8.9 x 13.3 x 0.7 inches,8.88 x 13.27 x 0.73 inches,AMD,2,32.00,Serial ATA,0.01 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"June 2, 2019",$199.99
4,13.3 inches,1920 x 1080,1.6 GHz Intel Core i5,8 GB,512 GB SSD,Intel UHD Graphics 620,intel,Integrated,,,HP,Pavilion,Windows 10,4.13 pounds,12.2 x 8.3 x 0.6 inches,12.24 x 8.3 x 0.61 inches,Intel,4,1 TB,Serial ATA,,,1 Lithium ion batteries required.,"March 1, 2019",$819.00
5,15.6 inches,1920 x 1080 pixels,2.4 GHz Intel Core i5,8 GB DDR4,512 GB Flash Memory Solid State,NVIDIA GeForce,NVIDIA,Dedicated,2,,Lenovo,L340 Gaming,Windows 10,4.84 pounds,14.3 x 10 x 0.9 inches,14.29 x 10.02 x 0.94 inches,Intel,1,,Solid State,7200 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"July 15, 2019",$679.30
6,11.6 inches,2560 x 1440,2 GHz Celeron J3355,6 GB LPDDR3,128 GB flash_memory_solid_state,Intel HD Graphics 500,,Integrated,,6 hours,XIDU,PhilBook Pro,Windows 10,2.45 pounds,10.9 x 7.8 x 0.4 inches,10.9 x 7.8 x 0.4 inches,Intel,2,128 GB,USB 3.0,,,1 Lithium ion batteries required. (included),"May 6, 2019",
7,15.6 inches,1366x768,1.1 GHz Pentium,SDRAM,1 TB mechanical_hard_drive,Intel,intel,Integrated,,5 hours,HP,Intel,,4.1 pounds,15 x 10 x 0.9 inches,14.96 x 9.99 x 0.94 inches,Intel,4,,,5400 RPM,,1 Lithium Metal batteries required. (included),"November 10, 2018",$289.99
8,15.6 inches,1366x768,2.7 GHz 80486SLC,8 GB DDR,128 GB flash_memory_solid_state,,intel,Dedicated,2,,Dell,Dell Inspiron,Windows 10,1 pounds,9.1 x 9.1 x 9.1 inches,9.1 x 9.1 x 9.1 inches,Intel,2,128.00,ATA-4,12 RPM,BD-R,1 Lithium Metal batteries required. (included),"November 25, 2018",$322.00
9,13.3 inches,3840 x 2160,1.8 GHz Core i7 Family,16 GB DDR4,512 GB Flash Memory Solid State,NVIDIA GeForce MX250 Graphics,NVIDIA,Dedicated,,,HP,13-aq0044nr,Windows 10 Home,2.59 pounds,13.3 x 8.9 x 0.9 inches,13.3 x 8.9 x 0.89 inches,Intel,4,512.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"April 18, 2019",$949.99
